,name,type,color,data
0,Women,column,#de2d26,28155
0,Women,column,#de2d26,29495
0,Women,column,#de2d26,12589
0,Women,column,#de2d26,35343
0,Women,column,#de2d26,7823
0,Women,column,#de2d26,59217
0,Women,column,#de2d26,62785
0,Women,column,#de2d26,108311
0,Women,column,#de2d26,5613
0,Women,column,#de2d26,6703
0,Women,column,#de2d26,27780
0,Women,column,#de2d26,64939
0,Women,column,#de2d26,41460
0,Women,column,#de2d26,16806
0,Women,column,#de2d26,5118
1,Men,column,#f29d4b,614333
1,Men,column,#f29d4b,571987
1,Men,column,#f29d4b,233103
1,Men,column,#f29d4b,326862
1,Men,column,#f29d4b,180225
1,Men,column,#f29d4b,479209
1,Men,column,#f29d4b,844260
1,Men,column,#f29d4b,1427702
1,Men,column,#f29d4b,40096
1,Men,column,#f29d4b,145499
1,Men,column,#f29d4b,546137
1,Men,column,#f29d4b,968555
1,Men,column,#f29d4b,570376
1,Men,column,#f29d4b,368749
1,Men,column,#f29d4b,78657
