,data,name
0,1.24,Python
0,1.15,Python
0,1.14,Python
0,1.27,Python
0,1.26,Python
0,1.31,Python
0,1.27,Python
0,1.27,Python
0,1.26,Python
0,1.53,Python
0,1.77,Python
0,1.69,Python
0,1.66,Python
0,1.77,Python
0,1.82,Python
0,1.83,Python
0,1.96,Python
0,2.04,Python
0,2.3,Python
0,2.23,Python
0,2.32,Python
0,2.68,Python
0,2.67,Python
0,2.78,Python
0,3.01,Python
0,3.12,Python
0,3.35,Python
0,3.37,Python
0,3.47,Python
0,3.54,Python
0,3.77,Python
0,3.7,Python
0,3.7,Python
0,3.74,Python
0,3.54,Python
0,3.53,Python
0,3.74,Python
0,3.62,Python
0,3.53,Python
0,3.56,Python
0,3.65,Python
0,3.74,Python
0,3.59,Python
0,3.76,Python
0,3.73,Python
1,1.67,C#
1,0.85,C#
1,1.5,C#
1,1.31,C#
1,1.66,C#
1,1.37,C#
1,1.02,C#
1,1.08,C#
1,0.66,C#
1,0.57,C#
1,0.88,C#
1,0.9,C#
1,0.81,C#
1,0.94,C#
1,0.93,C#
1,1.08,C#
1,1.07,C#
1,0.95,C#
1,1.06,C#
1,1.07,C#
1,1.47,C#
1,1.52,C#
1,1.56,C#
1,1.77,C#
1,1.82,C#
1,1.99,C#
1,2.03,C#
1,2.22,C#
1,2.4,C#
1,2.18,C#
1,2.15,C#
1,2.64,C#
1,2.17,C#
1,2.37,C#
1,2.07,C#
1,2.22,C#
1,2.39,C#
1,2.32,C#
1,2.11,C#
1,2.46,C#
1,2.52,C#
1,2.75,C#
1,2.57,C#
1,2.85,C#
1,2.85,C#
2,1.6,JavaScript
2,1.88,JavaScript
2,1.51,JavaScript
2,1.81,JavaScript
2,1.25,JavaScript
2,1.57,JavaScript
2,1.74,JavaScript
2,1.45,JavaScript
2,1.39,JavaScript
2,1.74,JavaScript
2,1.85,JavaScript
2,1.63,JavaScript
2,1.76,JavaScript
2,1.67,JavaScript
2,2.05,JavaScript
2,1.89,JavaScript
2,2.01,JavaScript
2,2.06,JavaScript
2,2.24,JavaScript
2,2.26,JavaScript
2,2.29,JavaScript
2,2.29,JavaScript
2,2.34,JavaScript
2,2.55,JavaScript
2,2.74,JavaScript
2,2.9,JavaScript
2,3.03,JavaScript
2,3.16,JavaScript
2,3.18,JavaScript
2,3.37,JavaScript
2,3.45,JavaScript
2,3.63,JavaScript
2,3.55,JavaScript
2,3.48,JavaScript
2,3.65,JavaScript
2,3.7,JavaScript
2,3.94,JavaScript
2,3.76,JavaScript
2,3.92,JavaScript
2,3.91,JavaScript
2,4.19,JavaScript
2,4.09,JavaScript
2,4.18,JavaScript
2,4.21,JavaScript
2,4.25,JavaScript
3,1.83,Java
3,1.95,Java
3,2.29,Java
3,1.85,Java
3,1.78,Java
3,2.14,Java
3,2.02,Java
3,1.97,Java
3,2.08,Java
3,1.94,Java
3,1.83,Java
3,1.88,Java
3,1.85,Java
3,1.68,Java
3,1.81,Java
3,2.13,Java
3,2.08,Java
3,2.03,Java
3,2.18,Java
3,2.11,Java
3,2.22,Java
3,2.38,Java
3,2.2,Java
3,2.45,Java
3,2.55,Java
3,2.63,Java
3,2.5,Java
3,2.6,Java
3,2.89,Java
3,2.9,Java
3,2.81,Java
3,2.89,Java
3,2.99,Java
3,2.98,Java
3,2.94,Java
3,2.85,Java
3,3.0,Java
3,2.93,Java
3,2.91,Java
3,2.97,Java
3,3.09,Java
3,3.03,Java
3,2.94,Java
3,3.0,Java
3,3.0,Java
4,0.0,Go
4,0.0,Go
4,0.0,Go
4,0.0,Go
4,0.0,Go
4,0.0,Go
4,0.0,Go
4,0.0,Go
4,0.88,Go
4,0.0,Go
4,0.0,Go
4,0.61,Go
4,1.4,Go
4,2.46,Go
4,0.94,Go
4,0.81,Go
4,1.21,Go
4,1.35,Go
4,1.41,Go
4,1.7,Go
4,1.29,Go
4,1.48,Go
4,1.71,Go
4,1.02,Go
4,1.42,Go
4,1.6,Go
4,1.63,Go
4,1.56,Go
4,1.68,Go
4,1.91,Go
4,2.05,Go
4,2.03,Go
4,2.06,Go
4,2.34,Go
4,2.3,Go
4,2.17,Go
4,2.17,Go
4,2.26,Go
4,2.58,Go
4,2.61,Go
4,2.48,Go
4,2.44,Go
4,2.58,Go
4,2.45,Go
4,2.61,Go
5,1.19,Ruby
5,0.79,Ruby
5,1.34,Ruby
5,1.26,Ruby
5,1.28,Ruby
5,1.51,Ruby
5,1.58,Ruby
5,1.54,Ruby
5,1.46,Ruby
5,1.61,Ruby
5,1.67,Ruby
5,1.47,Ruby
5,1.55,Ruby
5,1.64,Ruby
5,1.62,Ruby
5,1.69,Ruby
5,1.97,Ruby
5,1.88,Ruby
5,2.13,Ruby
5,2.08,Ruby
5,2.23,Ruby
5,2.37,Ruby
5,2.62,Ruby
5,2.89,Ruby
5,2.79,Ruby
5,3.34,Ruby
5,3.46,Ruby
5,3.51,Ruby
5,3.65,Ruby
5,3.82,Ruby
5,3.9,Ruby
5,4.14,Ruby
5,4.23,Ruby
5,4.54,Ruby
5,4.71,Ruby
5,4.44,Ruby
5,4.47,Ruby
5,4.61,Ruby
5,4.89,Ruby
5,4.78,Ruby
5,4.77,Ruby
5,4.94,Ruby
5,4.95,Ruby
5,4.65,Ruby
5,4.67,Ruby
6,1.92,C++
6,1.93,C++
6,1.86,C++
6,1.73,C++
6,1.87,C++
6,2.09,C++
6,1.99,C++
6,2.23,C++
6,2.15,C++
6,2.05,C++
6,2.12,C++
6,1.97,C++
6,1.9,C++
6,1.89,C++
6,1.97,C++
6,1.82,C++
6,1.82,C++
6,1.77,C++
6,1.79,C++
6,1.88,C++
6,1.79,C++
6,1.84,C++
6,1.99,C++
6,2.01,C++
6,1.99,C++
6,2.08,C++
6,2.18,C++
6,2.23,C++
6,2.26,C++
6,2.43,C++
6,2.49,C++
6,2.63,C++
6,2.5,C++
6,2.46,C++
6,2.41,C++
6,2.47,C++
6,2.48,C++
6,2.72,C++
6,2.61,C++
6,2.63,C++
6,2.62,C++
6,2.7,C++
6,2.74,C++
6,2.79,C++
6,2.64,C++
7,0.0,TypeScript
7,8.33,TypeScript
7,8.33,TypeScript
7,0.0,TypeScript
7,0.0,TypeScript
7,0.0,TypeScript
7,0.0,TypeScript
7,0.0,TypeScript
7,0.0,TypeScript
7,0.0,TypeScript
7,0.0,TypeScript
7,0.0,TypeScript
7,0.0,TypeScript
7,0.0,TypeScript
7,0.0,TypeScript
7,1.49,TypeScript
7,0.98,TypeScript
7,1.83,TypeScript
7,0.78,TypeScript
7,1.48,TypeScript
