win,female_commit,male_commit,all_commit
1,10986,352590,635951
2,11612,386664,692064
3,11529,398855,691257
4,11726,414942,729690
5,15597,482555,845555
6,15239,508037,876013
7,17593,541100,910490
8,19239,590455,977209
9,22778,673295,1104803
10,23942,683938,1112238
11,26501,758958,1210895
12,29085,822343,1296585
13,33920,1018275,1551823
14,35688,1085571,1677196
15,42404,1234157,1862378
16,47049,1361691,2038058
17,65959,1780653,2659211
18,72086,1887290,2822640
19,96736,2431779,3661513
20,84121,2107071,3182773
21,119389,2919013,4378205
22,132822,3096193,4693887
23,163884,3641902,5522902
24,196865,4113094,6424717
25,235549,4703151,7285104
26,267928,4851908,7600309
27,287925,4935434,7610951
28,320734,5457285,8637030
29,371173,6261954,9724986
30,427560,6649914,10543289
31,432116,6389521,10101686
32,492444,6999018,11367931
33,518396,7527317,12012165
34,455470,6609421,10332344
35,411629,6038887,9451353
36,435701,6203025,9915913
37,507853,6980602,11160584
38,462679,6285531,9994118
39,519117,6107941,9783524
40,688140,6412842,10590084
41,828873,7067258,11702540
42,942142,7042532,12085957
43,946675,6741717,12554112
44,894449,7134093,13792693
45,965735,6753695,13681252
46,699702,5074672,10571366
47,85185,1339659,2211495
48,124150,1897426,3238148
49,403520,4727865,9132277
50,411779,4812146,9346878
51,351559,3997030,8106154
52,276454,3457105,6845209
53,207668,2319985,4765797
54,0,28,139
55,0,45,49
56,0,4,16
