win,female_commit,male_commit,all_commit
1,230,6872,15219
2,169,6969,12458
3,446,6779,13149
4,646,8105,13803
5,586,9281,17440
6,503,8794,15825
7,720,9040,16891
8,801,9596,18389
9,772,12848,22333
10,770,13758,26801
11,816,17116,28652
12,728,19209,32644
13,534,26089,39954
14,824,26382,43567
15,739,29648,48076
16,1288,32349,53700
17,1231,41278,66036
18,1060,41931,66162
19,2178,53624,91619
20,1607,45939,76427
21,3256,76372,115375
22,3588,81413,125443
23,4524,90450,137465
24,3107,110537,179758
25,4812,126741,202589
26,6388,140558,225656
27,7272,139044,217987
28,8200,163035,270969
29,12293,205527,339222
30,14161,219008,382763
31,11123,201811,337945
32,16821,256246,443881
33,14400,261372,443965
34,15577,222386,374339
35,10570,199416,345294
36,10755,208052,351551
37,14025,251025,416410
38,13071,228824,364229
39,9256,203261,320938
40,12151,212128,339968
41,13045,227045,365860
42,15152,238096,385251
43,14875,229334,371755
44,19020,255084,455956
45,17756,248949,452862
46,13863,192726,374698
47,2056,49244,78221
48,4296,75715,129365
49,11346,183929,332283
50,10564,183542,340269
51,11162,153973,303765
52,9130,133575,259966
53,5953,93332,173808
54,0,0,0
55,0,0,0
56,0,2,2
