win,female_commit,male_commit,all_commit
1,1927,76939,142503
2,2037,91812,159811
3,1849,84289,148997
4,1874,83321,160291
5,2243,93782,182251
6,2625,102638,198679
7,2878,112876,198243
8,3386,126373,212402
9,4196,135042,232259
10,3569,128263,220252
11,3664,138237,237479
12,4320,144588,246202
13,5375,167007,277876
14,4552,168910,285030
15,4059,173259,287982
16,4939,182239,304117
17,6603,225956,379013
18,5596,217497,363918
19,7783,268466,443262
20,6257,224523,378955
21,8296,289170,478875
22,8938,306665,489957
23,11743,355679,567540
24,12875,394937,657418
25,11764,439657,721314
26,14898,452277,720975
27,15900,471316,741403
28,18254,511519,810682
29,20324,559353,857631
30,25574,577269,910113
31,21635,580236,882564
32,22309,610054,951204
33,22004,653967,1003154
34,22556,577345,890638
35,19970,542515,815686
36,19543,550146,840043
37,25143,597472,922489
38,24023,563709,873550
39,22521,567244,865433
40,22230,572142,886363
41,24448,606055,928060
42,26301,604494,943176
43,23781,571983,902726
44,28199,599438,972044
45,25084,578999,937238
46,20207,425312,714872
47,6830,175881,285583
48,9134,239855,394227
49,22631,514978,907534
50,26099,570451,1014997
51,23334,448819,882989
52,18567,402573,735514
53,12494,268791,496250
54,0,0,0
55,0,0,0
56,0,0,0
