win,female_commit,male_commit,all_commit
1,2709,108285,188223
2,2061,113790,186237
3,2138,114732,189645
4,2150,116574,193380
5,2580,134075,220961
6,2941,135491,222586
7,3657,137013,219816
8,5326,140957,231712
9,5536,156369,254546
10,5661,151909,245848
11,5300,156050,249260
12,5586,155549,251831
13,6140,180575,283768
14,6070,173588,282972
15,6996,191098,300089
16,6585,206211,320526
17,8393,258677,392631
18,10002,295131,444372
19,11702,352351,534284
20,13057,291428,444956
21,14643,379354,581826
22,14962,412707,629853
23,14631,439005,668237
24,16100,473166,727019
25,22715,511921,808154
26,21713,517405,820589
27,18843,512570,784500
28,21363,530468,823206
29,18709,576105,879524
30,20782,591997,905647
31,18612,566046,847345
32,20934,601998,919657
33,23840,642236,970430
34,20178,596675,879881
35,21782,529863,790181
36,17503,563755,833284
37,19300,598113,879781
38,17646,564887,819909
39,17820,545281,793786
40,18781,540825,785071
41,19136,554525,812766
42,18689,537032,798593
43,15075,484648,724250
44,16232,501093,770344
45,15649,491896,749321
46,13203,381639,612201
47,5442,192735,315248
48,7615,231956,365728
49,17206,459174,775138
50,13978,478956,820448
51,14802,372886,721868
52,11170,311908,535011
53,6681,204762,354510
54,0,17,17
55,0,0,0
56,0,1,1
