win,female_commit,male_commit,all_commit
1,16,1458,2878
2,12,3181,5354
3,28,1754,2693
4,23,1732,2447
5,53,2024,2897
6,80,2680,3469
7,62,2523,3475
8,93,2062,3357
9,146,1865,3349
10,207,2476,4312
11,158,3085,5012
12,207,4221,6992
13,561,4990,12739
14,509,6241,13678
15,215,8817,16158
16,314,12223,20035
17,861,15491,25473
18,741,17730,27824
19,1082,40458,54093
20,1669,38093,51052
21,2596,45741,68536
22,3895,53953,83848
23,8923,90647,148821
24,11683,125167,216134
25,14100,158112,265653
26,15897,169111,301743
27,19785,170401,293906
28,20622,186163,338167
29,23842,217628,387044
30,25799,236007,405581
31,27611,210077,377729
32,26627,229658,426360
33,33485,259668,468729
34,26919,225401,390204
35,26422,202419,367850
36,29225,209078,380440
37,33944,244235,441137
38,30194,195241,374467
39,30492,186472,362476
40,33335,192879,372186
41,35057,200532,383178
42,33332,201684,395686
43,38666,198788,415744
44,42998,205248,449602
45,38720,194087,435147
46,23131,139742,324836
47,4069,22318,43210
48,5903,36634,77801
49,18235,115341,284312
50,19038,121236,300848
51,17399,98457,275161
52,11358,81724,212400
53,10493,55700,180277
54,0,0,0
55,0,0,0
56,0,0,0
