win,female_commit,male_commit,all_commit
1,0,136,136
2,0,734,734
3,0,1835,1931
4,0,2371,2515
5,0,2059,2194
6,0,2553,2699
7,0,4047,4424
8,0,5878,6700
9,6,3801,4356
10,1,2978,3637
11,0,4701,5691
12,2,3841,4727
13,271,6067,7534
14,65,6988,8370
15,238,7024,8856
16,188,9586,11687
17,555,14338,18591
18,487,10380,13989
19,1011,15687,22307
20,699,16076,22454
21,942,24903,34392
22,947,31017,40283
23,1297,41057,53934
24,1185,45022,58192
25,1270,58328,79279
26,1793,74389,98873
27,2113,87352,112903
28,3047,98689,134087
29,4067,139398,188214
30,4976,152981,204608
31,4130,154400,208140
32,6566,167786,226088
33,7185,205066,274227
34,6712,192108,257424
35,7647,186258,256491
36,7935,200276,267728
37,8821,233062,314111
38,8855,226188,309496
39,13198,232138,324347
40,12022,223656,322102
41,13920,257926,369896
42,15065,270716,396705
43,15708,293191,436708
44,16189,291849,451537
45,17836,286595,436930
46,14629,221450,343493
47,4534,67376,104756
48,6193,90253,144768
49,18642,247903,419403
50,17149,253969,433149
51,15372,233244,406794
52,11238,185582,319708
53,7793,123797,216024
54,0,1,7
55,0,0,0
56,0,0,0
