win,female_commit,male_commit,all_commit
1,270,5408,11152
2,209,6287,12881
3,156,5037,12083
4,179,6051,13537
5,334,7367,16745
6,292,8071,17272
7,532,8488,16045
8,712,7580,15906
9,660,10374,19927
10,730,10710,19056
11,1476,11736,22567
12,1317,10994,21700
13,1260,15072,26217
14,1902,17106,32767
15,1932,23204,38388
16,1695,25612,41589
17,2089,34542,54890
18,2608,35590,58464
19,2938,49246,76588
20,2283,45759,72698
21,3386,69384,102866
22,4064,78186,119171
23,7142,102244,155410
24,8302,126605,190907
25,13506,158268,243690
26,15016,173495,272804
27,19053,201336,325696
28,22135,225418,423212
29,39782,324855,568427
30,48092,388115,696242
31,51952,355670,658206
32,61010,412978,800208
33,60265,439963,975301
34,51164,359123,671843
35,41928,324885,598449
36,52489,340054,654546
37,59224,384527,732539
38,48392,341014,655077
39,45590,314534,599328
40,72106,328962,682109
41,71352,393476,759736
42,70848,362461,741453
43,68856,341211,728301
44,75790,355298,838570
45,68345,334147,795722
46,43549,238911,568083
47,7087,46310,85026
48,9269,65771,127341
49,31081,191130,443109
50,30798,189432,445800
51,25920,170423,397707
52,20652,139262,336805
53,14590,95203,233871
54,0,0,0
55,0,0,0
56,0,0,0
