win,female_commit,male_commit,all_commit
1,3077,56400,119258
2,3403,59199,146699
3,3739,59205,126234
4,2660,57240,126823
5,3567,67143,145451
6,3873,75446,154317
7,3823,84059,168064
8,3592,93245,176191
9,4363,98952,182475
10,4243,102478,188208
11,5057,116567,210526
12,5915,132924,227172
13,6347,169440,271238
14,7048,173409,287338
15,7583,196302,315764
16,9461,219388,354157
17,13841,273322,443371
18,14093,281082,460053
19,18982,360871,589671
20,16208,329322,535662
21,20344,454055,741109
22,24641,485224,816362
23,24694,537010,886870
24,35015,650880,1111027
25,34714,704945,1191368
26,40746,725616,1239765
27,37931,696151,1141968
28,47229,838138,1421538
29,50639,908828,1517808
30,63277,999724,1723433
31,53562,853349,1446728
32,63335,996681,1758004
33,58328,1012097,1692577
34,56136,893310,1493938
35,43365,768805,1274672
36,53056,824560,1405369
37,59420,932118,1623809
38,54464,814159,1400369
39,54403,752245,1266809
40,52864,793941,1355725
41,62673,849545,1452094
42,62148,786540,1378721
43,57031,722244,1331686
44,67723,801922,1624650
45,63715,739142,1501306
46,48701,536712,1134477
47,9466,160656,279332
48,12465,223676,404968
49,32501,531662,1026579
50,34658,544250,1075434
51,30808,451386,912925
52,25542,399384,775305
53,18923,255568,516588
54,0,0,0
55,0,1,1
56,0,0,0
