win,female_commit,male_commit,all_commit
1,360,7987,15239
2,683,9112,17360
3,549,13460,23543
4,486,15329,23938
5,650,17456,27749
6,423,18973,28890
7,760,21762,34411
8,533,27926,42926
9,972,38962,57411
10,1537,42077,62602
11,1456,53483,76459
12,1523,65685,90158
13,2255,90815,126435
14,2907,108952,155058
15,4366,131837,182868
16,6048,150963,209089
17,9716,227126,317277
18,10754,257691,368681
19,16472,339365,493265
20,11646,299440,434646
21,20516,442682,638797
22,23301,482471,711502
23,30033,590133,891824
24,35165,692279,1057888
25,43938,826836,1240799
26,50656,843919,1321403
27,56232,889211,1367486
28,67676,1000099,1553112
29,76145,1141667,1739917
30,85513,1238971,1926145
31,94617,1261384,2020525
32,110652,1400646,2253685
33,113396,1523294,2366834
34,96629,1284323,1973541
35,92283,1162323,1801024
36,95674,1193649,1897050
37,113430,1344699,2122541
38,105542,1195661,1876382
39,105908,1183113,1906890
40,118962,1236728,2022238
41,138855,1343462,2212965
42,145468,1342447,2265063
43,172361,1331088,2344133
44,176146,1463041,2638650
45,164513,1317833,2415204
46,116089,918846,1742394
47,13418,184884,311810
48,21633,284191,503572
49,71676,773087,1525916
50,73892,766204,1527243
51,68560,657730,1307952
52,56027,543407,1104755
53,36546,375381,757369
54,0,0,3
55,0,0,2
56,0,0,1
