win,female_commit,male_commit,all_commit
1,0,0,1
2,0,0,0
3,0,0,0
4,0,0,204
5,0,0,77
6,0,23,112
7,0,139,168
8,0,185,265
9,0,219,500
10,0,180,251
11,0,155,229
12,0,124,197
13,8,431,515
14,24,156,305
15,32,820,1058
16,17,443,601
17,29,743,945
18,38,430,702
19,62,1149,1433
20,43,1314,1667
21,63,2024,2483
22,133,2590,3290
23,69,3428,4564
24,244,3820,4989
25,544,7997,10187
26,977,9316,11670
27,1774,10169,14643
28,2146,11460,16993
29,2005,15899,21783
30,2038,16909,24156
31,2249,21317,30238
32,3190,32537,49456
33,4422,39088,59572
34,2355,28640,41738
35,2622,28133,41658
36,2632,26690,41008
37,3727,38806,58865
38,3368,38453,60082
39,3706,37053,59027
40,4090,40135,63999
41,5472,44376,71407
42,11602,60188,114748
43,12668,62493,190306
44,26558,164378,576377
45,54871,94936,470148
46,61553,196555,862669
47,1000,9017,15699
48,1981,13150,32792
49,16418,50611,229685
50,14957,43316,158704
51,13826,28042,136852
52,4619,17400,70508
53,2783,15934,48548
54,0,0,0
55,0,0,0
56,0,0,0
