win,female_commit,male_commit,all_commit
1,0,1227,3816
2,1,1795,3148
3,14,3175,4534
4,107,3410,6306
5,95,4838,8310
6,77,5424,8652
7,108,5767,9558
8,101,5402,8885
9,38,5915,10328
10,83,6327,10918
11,49,8400,11298
12,128,9265,13283
13,275,12717,18191
14,471,14261,19135
15,541,17977,23878
16,650,20631,26463
17,910,28794,38773
18,1091,27276,37378
19,1359,38826,55295
20,811,37057,50983
21,995,53471,70953
22,1161,43961,63986
23,1914,57260,81852
24,2291,67138,98671
25,3264,73477,107795
26,4435,76957,118274
27,3869,74390,114166
28,4111,76951,125998
29,5149,83342,130553
30,4403,87248,138265
31,4055,87780,139535
32,5723,86757,145486
33,4559,81067,133189
34,4283,65641,112263
35,3363,62908,105157
36,3497,63220,102736
37,3922,62861,98727
38,4051,54822,88119
39,3909,51995,85010
40,3834,49036,78517
41,5069,48102,78073
42,4459,47054,75520
43,5138,45936,76359
44,3405,43277,68548
45,2592,38620,67916
46,2594,27351,53017
47,755,8582,15569
48,868,13230,23944
49,1869,37474,64627
50,1556,38326,68391
51,1260,29392,55330
52,1311,26852,49125
53,695,19153,33436
54,0,0,0
55,0,0,0
56,0,0,0
