win,female_commit,male_commit,all_commit
1,1620,29900,50893
2,1440,27826,48768
3,1204,32071,55560
4,1601,40032,66995
5,2435,39513,69609
6,1509,42247,70107
7,1923,44330,78048
8,1514,45356,79637
9,2333,61649,106160
10,2416,61663,102918
11,2996,65711,108521
12,3278,76689,127168
13,4297,98161,151657
14,3585,107160,166958
15,4742,125724,194722
16,4349,139945,208389
17,5927,176585,262578
18,7672,207544,300596
19,9048,265644,395833
20,7137,222484,332119
21,12229,310472,462862
22,10134,309987,471544
23,12888,349735,540897
24,17121,385049,610311
25,21483,451089,707628
26,22156,433355,687280
27,23251,431078,685850
28,24918,497374,802196
29,26096,564160,881292
30,28175,546009,876268
31,26060,533927,853920
32,31286,549098,909812
33,27058,569092,911953
34,24781,492710,777226
35,27197,460889,715342
36,24939,458095,734773
37,30008,497345,817676
38,23489,430037,671877
39,23084,417981,648873
40,23019,412083,655117
41,23684,433555,682330
42,24050,412660,660816
43,19027,357334,585590
44,23882,383696,645465
45,20826,356829,600532
46,16425,261495,446876
47,4096,79238,124476
48,5258,120163,189701
49,12272,285580,465987
50,14905,281461,473694
51,12244,243419,411698
52,10251,227531,386770
53,6572,152904,256147
54,0,0,0
55,0,0,0
56,0,0,0
