win,female_commit,male_commit,all_commit
1,458,36571,54852
2,707,38562,59924
3,821,44068,69441
4,1163,45390,70229
5,1630,62376,91787
6,1458,62398,93277
7,1517,62293,94750
8,1613,67343,102038
9,2026,82613,124301
10,2519,87348,127281
11,2946,106205,150601
12,3221,107806,153437
13,3416,133124,188517
14,4183,151318,208854
15,5770,175098,242794
16,5857,188262,260384
17,7858,247289,346843
18,9190,254960,355411
19,11772,333590,466480
20,10668,289815,403753
21,15610,400835,562342
22,19232,420059,595473
23,22072,511590,714395
24,24737,530965,765026
25,29519,625780,897664
26,33030,662365,958017
27,37677,674871,980128
28,38728,715184,1044788
29,48132,837000,1220348
30,54311,881959,1297878
31,61501,883516,1311643
32,62276,937434,1410501
33,62766,1042018,1531612
34,57625,965942,1417991
35,54152,932169,1367432
36,58767,899820,1370403
37,68277,1035684,1594257
38,63010,934246,1446332
39,94975,903423,1433346
40,68806,901908,1395932
41,77515,976781,1526688
42,75847,953885,1508242
43,72027,946070,1524688
44,80258,980243,1635005
45,79943,944472,1577670
46,60432,721161,1238990
47,15821,215295,350632
48,21613,311370,516648
49,61600,744589,1348134
50,60239,753327,1380877
51,51940,637650,1209890
52,40269,554442,1008692
53,30225,368146,692203
54,0,10,11
55,0,7,9
56,0,1,1
