win,female_commit,male_commit,all_commit
1,145,11369,16898
2,557,17599,23813
3,379,20417,26678
4,465,24814,32439
5,854,30720,40767
6,1141,32074,42581
7,1174,35269,46041
8,1300,45208,58606
9,1344,48507,62383
10,1742,52040,65935
11,1854,60985,76512
12,2232,72812,92455
13,2222,89102,110955
14,2736,104525,133294
15,4181,119340,154314
16,4683,136446,175132
17,6800,188409,245396
18,7811,190000,253288
19,11040,242054,335283
20,10920,210000,294484
21,14597,289509,398227
22,15696,303706,419341
23,21610,362405,508904
24,25933,383427,548878
25,29437,417521,581853
26,35467,427213,594918
27,38289,425659,595057
28,36188,437360,618690
29,37992,487750,675248
30,43305,491955,697462
31,46463,450897,637298
32,51700,468887,683484
33,52705,505777,726023
34,51808,435041,633239
35,48389,380257,585811
36,47332,377395,606987
37,51641,417253,628893
38,48733,372246,562200
39,75306,380012,611765
40,225169,565584,1099121
41,313387,738407,1454627
42,411693,827124,1806289
43,402743,758526,2288386
44,285605,645896,1952842
45,362955,679311,2516576
46,238016,492496,1605108
47,4817,48651,73132
48,9859,81752,134110
49,66674,295516,765647
50,74033,285572,743365
51,47381,223506,598984
52,43942,215207,632850
53,44841,148368,518932
54,0,0,0
55,0,35,35
56,0,0,0
