win,female_commit,male_commit,all_commit
1,174,9657,14307
2,285,9368,14290
3,189,11742,16374
4,372,10036,16073
5,570,11636,18818
6,317,10973,17013
7,439,13124,20014
8,268,13012,19311
9,386,16012,24123
10,464,21606,34016
11,729,16313,27782
12,628,18418,28373
13,959,24408,35890
14,812,26186,39425
15,1008,33203,46514
16,841,36496,50967
17,962,46064,64720
18,894,47981,68863
19,1205,68376,99365
20,1010,53257,79835
21,1824,78583,116384
22,1956,80507,117921
23,2178,105905,153975
24,2995,118770,190683
25,4136,136618,216533
26,3871,136367,212273
27,4496,140876,218234
28,4705,152893,233854
29,4449,182085,289971
30,5626,194581,311993
31,6775,201239,307588
32,8012,214310,338194
33,31788,243931,385079
34,15657,222299,348853
35,8367,201123,306690
36,9306,211952,323683
37,11446,238031,358849
38,11928,216753,330535
39,11421,217763,330408
40,11727,207980,322698
41,13711,225909,355408
42,12807,207354,334793
43,12887,196221,326069
44,12653,209013,342321
45,11954,200409,330731
46,10238,142859,242171
47,2565,42501,68910
48,4063,59420,106279
49,10014,163138,305116
50,10202,169629,327055
51,9259,137346,274451
52,6028,127324,244453
53,4346,82042,169877
54,0,0,101
55,0,2,2
56,0,0,11
