win,female_commit,male_commit,all_commit
1,0,381,576
2,48,430,587
3,17,291,395
4,0,537,710
5,0,285,499
6,0,252,534
7,0,370,542
8,0,332,884
9,0,167,352
10,0,125,203
11,0,214,306
12,0,218,246
13,0,277,337
14,0,389,445
15,2,806,917
16,134,897,1222
17,184,2039,2674
18,49,2067,2939
19,102,2072,2735
20,106,2564,3082
21,92,2458,3178
22,174,3747,5913
23,166,5354,8214
24,112,5332,7816
25,347,5861,10598
26,885,9565,16069
27,1440,11010,17024
28,1412,12534,19538
29,1549,18357,28004
30,1528,27181,42735
31,1771,27872,42282
32,2003,33948,51911
33,2195,48681,69520
34,3090,48477,69226
35,3572,56924,79616
36,3048,76283,106312
37,5525,105371,150500
38,5913,109291,161494
39,7528,115426,175088
40,9044,134855,208938
41,11549,167562,249452
42,14681,190797,280901
43,15832,202650,307411
44,19791,234617,370782
45,20976,247470,393949
46,17072,177417,307481
47,3229,36971,59891
48,4000,50290,86904
49,11355,133753,238807
50,9711,132475,236604
51,8292,110757,209788
52,6350,90934,173347
53,4733,60904,117957
54,0,0,0
55,0,0,0
56,0,0,0
