win,language,commit_female,commit_male,commit_unknown
1,JavaScript,236,7221,7741
2,JavaScript,440,8410,8505
3,JavaScript,392,12434,10700
4,JavaScript,387,14500,9214
5,JavaScript,480,16267,11128
6,JavaScript,295,18340,10598
7,JavaScript,625,20580,13572
8,JavaScript,451,26185,16465
9,JavaScript,808,34760,22371
10,JavaScript,1398,39374,22646
11,JavaScript,1102,50237,25453
12,JavaScript,1301,63035,27399
13,JavaScript,1851,85113,40530
14,JavaScript,2438,103702,50452
15,JavaScript,3769,126770,53843
16,JavaScript,5062,143529,63770
17,JavaScript,8098,215666,98299
18,JavaScript,9161,242608,123126
19,JavaScript,13582,324093,171387
20,JavaScript,9550,283971,150276
21,JavaScript,16088,419605,218642
22,JavaScript,17351,454113,257657
23,JavaScript,22706,557942,334716
24,JavaScript,28581,651515,404103
25,JavaScript,34881,776951,461214
26,JavaScript,41611,783606,530059
27,JavaScript,46549,832715,528336
28,JavaScript,57297,929262,616256
29,JavaScript,63507,1069416,665682
30,JavaScript,71536,1151608,758747
31,JavaScript,81310,1168600,828668
32,JavaScript,94336,1319081,953684
33,JavaScript,94385,1407422,1007908
34,JavaScript,78305,1203544,794145
35,JavaScript,77387,1089875,729560
36,JavaScript,80719,1122504,792789
37,JavaScript,100374,1283640,933830
38,JavaScript,89426,1131937,786809
39,JavaScript,94494,1130623,844223
40,JavaScript,112550,1177789,936837
41,JavaScript,135054,1285917,1056406
42,JavaScript,147429,1283540,1119415
43,JavaScript,155797,1272455,1228930
44,JavaScript,154475,1312656,1393801
45,JavaScript,143662,1215966,1250039
46,JavaScript,98906,837105,919310
1,Python,349,45688,20587
2,Python,350,56455,24132
3,Python,590,47537,29169
4,Python,683,44391,28612
5,Python,1068,63543,32386
6,Python,1191,68891,39743
7,Python,1219,66270,35282
8,Python,1185,68657,37881
9,Python,1560,92782,47338
10,Python,2769,95508,45244
11,Python,2886,107187,49828
12,Python,2896,108258,51128
13,Python,3051,147297,60871
14,Python,3606,158925,64847
15,Python,4946,176509,74760
16,Python,4413,189336,80586
17,Python,5814,263736,114278
18,Python,7695,257079,114744
19,Python,10329,342377,154125
20,Python,9074,302438,129901
21,Python,13247,409496,189759
22,Python,15705,449252,202239
23,Python,21102,535633,239252
24,Python,22556,537167,272047
25,Python,27725,633067,317511
26,Python,31359,661288,336564
