win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,9206,0,360,0,8188,17754,5986,0,235,0,4487,10708
2,10359,0,367,0,8679,19405,6648,0,236,0,4684,11568
3,11417,0,423,0,9389,21229,7337,0,282,0,5112,12731
4,12559,0,495,0,9954,23008,8075,0,321,0,5440,13836
5,14595,0,518,0,11292,26405,9457,0,355,0,6179,15991
6,15612,0,627,0,12115,28354,10186,0,413,0,6663,17262
7,16848,0,652,0,12840,30340,10854,0,447,0,7098,18399
8,18632,0,751,0,13719,33102,11935,0,498,0,7549,19982
9,21071,0,814,0,15188,37073,13401,0,529,0,8277,22207
10,23004,0,877,0,15946,39827,14513,0,577,0,8640,23730
11,25864,0,1020,0,16902,43786,16451,0,678,0,9360,26489
12,28923,0,1071,0,18152,48146,18421,0,675,0,9978,29074
13,34593,0,1282,0,20741,56616,21826,0,802,0,11320,33948
14,39884,0,1435,0,23423,64742,24806,0,851,0,12728,38385
15,44280,0,1690,0,24965,70935,27468,0,999,0,13456,41923
16,49761,0,1904,0,28116,79781,30119,0,1091,0,15077,46287
17,63932,0,2617,0,36425,102974,37502,0,1371,0,18468,57341
18,69253,0,2900,0,39436,111589,39490,0,1466,0,19252,60208
19,81048,0,3724,0,48421,133193,46010,0,1810,0,23183,71003
20,82962,0,3733,0,48521,135216,47277,0,1845,0,23664,72786
21,103572,0,4932,0,60953,169457,58448,0,2323,0,29182,89953
22,111436,0,5722,0,67511,184669,62164,0,2643,0,31651,96458
23,122779,0,6376,0,75861,205016,69750,0,3101,0,36548,109399
24,136475,0,7779,0,88952,233206,74616,0,3418,0,39715,117749
25,154806,0,9181,0,100090,264077,84463,0,4126,0,44923,133512
26,163255,0,10262,0,107930,281447,88450,0,4387,0,47980,140817
27,166293,0,10729,0,108576,285598,92222,0,4998,0,49938,147158
28,183893,0,12222,0,124089,320204,98957,0,5242,0,53984,158183
29,205418,0,14466,0,139431,359315,111597,0,6311,0,61870,179778
30,218955,0,16061,0,153590,388606,117773,0,6717,0,66358,190848
31,216323,0,16075,0,149696,382094,120351,0,7489,0,68956,196796
32,240736,0,19069,0,175421,435226,129159,0,8264,0,76979,214402
33,247093,0,18674,0,171701,437468,141596,0,9371,0,83814,234781
34,232865,0,17373,0,155736,405974,138242,0,9221,0,80330,227793
35,221978,0,16596,0,146701,385275,135655,0,9326,0,79874,224855
36,231868,0,17859,0,162263,411990,139834,0,9859,0,85758,235451
37,250306,0,20318,0,178940,449564,150532,0,11216,0,95526,257274
38,233393,0,18306,0,164520,416219,146196,0,10779,0,93884,250859
39,225701,0,17840,0,158547,402088,145799,0,11183,0,95506,252488
40,233966,0,19336,0,170698,424000,149630,0,11642,0,100658,261930
41,241937,0,20830,0,178407,441174,154055,0,12528,0,104893,271476
42,235560,0,20707,0,179151,435418,148837,0,12295,0,103693,264825
43,230068,0,20690,0,187199,437957,145735,0,12381,0,108931,267047
44,252938,0,25046,0,232732,510716,155795,0,13993,0,125534,295322
45,246444,0,24826,0,234123,505393,148628,0,13156,0,120334,282118
46,206287,0,20711,0,203969,430967,124466,0,11141,0,106293,241900
47,98686,0,7037,0,76107,181830,69457,0,4980,0,53059,127496
48,121491,0,8867,0,108640,238998,85834,0,6326,0,77374,169534
49,158388,0,12035,0,188332,358755,114856,0,8847,0,142454,266157
50,154646,0,11458,0,192359,358463,114150,0,8673,0,148671,271494
51,138087,0,10691,0,184113,332891,102168,0,8192,0,144012,254372
52,124706,0,9724,0,165019,299449,92391,0,7518,0,129429,229338
53,97158,0,7165,0,124807,229130,70960,0,5412,0,97317,173689
54,4,0,0,0,6,10,4,0,0,0,3,7
55,4,0,0,0,3,7,3,0,0,0,3,6
56,3,0,0,0,2,5,2,0,0,0,2,4
