win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,231,0,6,0,204,441,175,0,5,0,128,308
2,219,0,4,0,214,437,162,0,4,0,136,302
3,251,0,9,0,229,489,197,0,8,0,130,335
4,233,0,9,0,252,494,177,0,7,0,147,331
5,294,0,13,0,301,608,210,0,9,0,163,382
6,293,0,12,0,307,612,203,0,8,0,156,367
7,367,0,13,0,364,744,265,0,8,0,185,458
8,389,0,11,0,377,777,247,0,6,0,178,431
9,519,0,12,0,479,1010,362,0,8,0,227,597
10,530,0,10,0,464,1004,349,0,6,0,222,577
11,678,0,13,0,499,1190,456,0,9,0,259,724
12,766,0,20,0,559,1345,516,0,13,0,301,830
13,962,0,24,0,652,1638,607,0,11,0,347,965
14,1163,0,27,0,733,1923,757,0,11,0,400,1168
15,1328,0,32,0,900,2260,879,0,19,0,513,1411
16,1421,0,41,0,1019,2481,873,0,25,0,568,1466
17,1952,0,53,0,1301,3306,1090,0,24,0,628,1742
18,2142,0,51,0,1432,3625,1197,0,25,0,667,1889
19,2543,0,71,0,1592,4206,1387,0,33,0,699,2119
20,2624,0,86,0,1689,4399,1380,0,43,0,734,2157
21,3438,0,111,0,1985,5534,1828,0,57,0,882,2767
22,3763,0,140,0,2227,6130,1930,0,53,0,933,2916
23,4026,0,144,0,2513,6683,2070,0,69,0,1146,3285
24,4576,0,182,0,2963,7721,2289,0,73,0,1210,3572
25,5474,0,223,0,3528,9225,2581,0,77,0,1288,3946
26,5848,0,274,0,4052,10174,2789,0,95,0,1477,4361
27,6132,0,283,0,4105,10520,2965,0,109,0,1611,4685
28,7122,0,348,0,5025,12495,3234,0,117,0,1813,5164
29,8834,0,507,0,6379,15720,3905,0,147,0,2144,6196
30,9644,0,508,0,7212,17364,4236,0,156,0,2438,6830
31,9231,0,478,0,6667,16376,4481,0,210,0,2680,7371
32,10787,0,677,0,8415,19879,4749,0,206,0,2956,7911
33,11194,0,573,0,8022,19789,5306,0,215,0,3202,8723
34,10118,0,543,0,6928,17589,5347,0,230,0,3129,8706
35,9474,0,476,0,7029,16979,5425,0,229,0,3796,9450
36,9751,0,547,0,7358,17656,5292,0,242,0,3256,8790
37,11115,0,648,0,8662,20425,5893,0,275,0,3664,9832
38,10009,0,565,0,7407,17981,5702,0,283,0,3565,9550
39,9257,0,460,0,6539,16256,5607,0,271,0,3606,9484
40,9881,0,581,0,7208,17670,5835,0,331,0,3726,9892
41,10478,0,640,0,7661,18779,6124,0,304,0,3918,10346
42,10486,0,683,0,7806,18975,6184,0,340,0,3957,10481
43,10140,0,631,0,7881,18652,6156,0,333,0,4332,10821
44,11629,0,889,0,10755,23273,6621,0,397,0,4843,11861
45,11791,0,961,0,11556,24308,6499,0,381,0,4627,11507
46,9826,0,800,0,9798,20424,5402,0,329,0,3981,9712
47,4091,0,223,0,3238,7552,3035,0,180,0,2402,5617
48,5200,0,283,0,4674,10157,3848,0,230,0,3544,7622
49,6817,0,365,0,8321,15503,5133,0,309,0,6533,11975
50,6549,0,364,0,8116,15029,4940,0,292,0,6411,11643
51,5780,0,361,0,7612,13753,4458,0,291,0,6106,10855
52,5339,0,297,0,6893,12529,4193,0,245,0,5599,10037
53,4015,0,217,0,5147,9379,3074,0,184,0,4156,7414
54,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0
56,1,0,0,0,0,1,0,0,0,0,0,0
