win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,1777,0,79,0,1807,3663,1127,0,50,0,923,2100
2,1962,0,80,0,1850,3892,1235,0,53,0,895,2183
3,2034,0,82,0,2031,4147,1292,0,51,0,1014,2357
4,2208,0,85,0,2133,4426,1381,0,54,0,1043,2478
5,2506,0,98,0,2436,5040,1590,0,62,0,1226,2878
6,2759,0,116,0,2647,5522,1792,0,71,0,1352,3215
7,3033,0,129,0,2774,5936,1940,0,97,0,1404,3441
8,3334,0,154,0,2776,6264,2111,0,101,0,1369,3581
9,3641,0,160,0,3028,6829,2337,0,110,0,1535,3982
10,3881,0,163,0,3171,7215,2359,0,108,0,1629,4096
11,4149,0,196,0,3309,7654,2569,0,126,0,1732,4427
12,4503,0,175,0,3361,8039,2713,0,107,0,1745,4565
13,5252,0,208,0,4085,9545,3197,0,134,0,2268,5599
14,5820,0,226,0,4627,10673,3444,0,139,0,2560,6143
15,6086,0,258,0,4565,10909,3586,0,141,0,2492,6219
16,6500,0,253,0,4881,11634,3618,0,148,0,2665,6431
17,7805,0,326,0,5968,14099,4241,0,168,0,3177,7586
18,8261,0,346,0,6132,14739,4321,0,169,0,3155,7645
19,9325,0,397,0,7176,16898,4933,0,222,0,3977,9132
20,9007,0,375,0,6988,16370,4747,0,181,0,3830,8758
21,10831,0,444,0,8056,19331,5553,0,223,0,4121,9897
22,11561,0,505,0,8470,20536,5902,0,245,0,4321,10468
23,12391,0,560,0,8906,21857,6477,0,281,0,4565,11323
24,13632,0,626,0,10393,24651,6835,0,308,0,5200,12343
25,15068,0,691,0,11047,26806,7532,0,321,0,5391,13244
26,15910,0,774,0,12098,28782,8130,0,348,0,5988,14466
27,16388,0,808,0,11717,28913,8808,0,419,0,5748,14975
28,17949,0,865,0,12271,31085,9386,0,400,0,5487,15273
29,18963,0,918,0,12958,32839,9799,0,407,0,5714,15920
30,20268,0,1042,0,13560,34870,10573,0,469,0,6024,17066
31,19962,0,1026,0,13168,34156,10974,0,527,0,6242,17743
32,21483,0,1191,0,14366,37040,11285,0,519,0,6313,18117
33,22049,0,1160,0,14552,37761,11948,0,557,0,6993,19498
34,21226,0,1105,0,13748,36079,11996,0,570,0,7128,19694
35,20229,0,1030,0,12982,34241,11883,0,580,0,7257,19720
36,20925,0,1132,0,13901,35958,12327,0,633,0,7718,20678
37,22107,0,1203,0,14850,38160,13101,0,659,0,8357,22117
38,21680,0,1252,0,14346,37278,13254,0,745,0,8407,22406
39,21289,0,1248,0,14103,36640,13525,0,775,0,8676,22976
40,22313,0,1275,0,15302,38890,14028,0,770,0,9227,24025
41,22585,0,1283,0,15570,39438,14143,0,749,0,9258,24150
42,22175,0,1301,0,15563,39039,13774,0,764,0,9142,23680
43,21412,0,1277,0,15585,38274,13366,0,740,0,9267,23373
44,23408,0,1556,0,18815,43779,14565,0,909,0,10862,26336
45,22340,0,1317,0,18253,41910,13813,0,768,0,10005,24586
46,19654,0,1249,0,16591,37494,12162,0,713,0,9164,22039
47,11750,0,675,0,8762,21187,8110,0,478,0,6012,14600
48,13698,0,811,0,11828,26337,9380,0,557,0,8272,18209
49,16291,0,957,0,17886,35134,11171,0,652,0,12772,24595
50,16659,0,922,0,18621,36202,11664,0,657,0,13558,25879
51,14822,0,845,0,17749,33416,10429,0,624,0,13210,24263
52,13768,0,765,0,16718,31251,9715,0,561,0,12450,22726
53,10956,0,571,0,12672,24199,7830,0,423,0,9416,17669
54,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0
