win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,3566,0,123,0,2346,6035,2043,0,67,0,1009,3119
2,3800,0,109,0,2422,6331,2151,0,61,0,1037,3249
3,4049,0,127,0,2583,6759,2358,0,75,0,1160,3593
4,4353,0,148,0,2773,7274,2560,0,93,0,1241,3894
5,4938,0,149,0,3033,8120,3022,0,101,0,1380,4503
6,5101,0,180,0,3085,8366,3114,0,119,0,1440,4673
7,5267,0,191,0,3169,8627,3162,0,125,0,1474,4761
8,5581,0,222,0,3357,9160,3376,0,143,0,1617,5136
9,5823,0,203,0,3592,9618,3357,0,130,0,1672,5159
10,6038,0,240,0,3513,9791,3476,0,167,0,1649,5292
11,6445,0,262,0,3751,10458,3749,0,179,0,1750,5678
12,6597,0,252,0,3721,10570,3748,0,165,0,1683,5596
13,7585,0,271,0,4033,11889,4261,0,179,0,1788,6228
14,7865,0,273,0,4245,12383,4295,0,170,0,1942,6407
15,8050,0,300,0,4142,12492,4369,0,197,0,1805,6371
16,8712,0,304,0,4603,13619,4570,0,184,0,1995,6749
17,10253,0,379,0,5438,16070,5188,0,223,0,2219,7630
18,10764,0,376,0,5788,16928,5356,0,205,0,2353,7914
19,11648,0,456,0,6603,18707,5848,0,244,0,2732,8824
20,11478,0,411,0,6265,18154,5775,0,227,0,2588,8590
21,13456,0,532,0,7396,21384,6643,0,260,0,3084,9987
22,13888,0,578,0,7964,22430,6869,0,294,0,3291,10454
23,14674,0,592,0,8669,23935,7427,0,312,0,3898,11637
24,15841,0,682,0,9373,25896,7762,0,340,0,3804,11906
25,17442,0,766,0,10307,28515,8396,0,398,0,4259,13053
26,17716,0,778,0,10493,28987,8614,0,363,0,4431,13408
27,17911,0,842,0,10457,29210,8961,0,422,0,4626,14009
28,18545,0,871,0,11032,30448,9038,0,413,0,4475,13926
29,19708,0,910,0,11838,32456,9771,0,431,0,5001,15203
30,20538,0,972,0,12582,34092,10147,0,448,0,5342,15937
31,20555,0,1025,0,12203,33783,10494,0,508,0,5599,16601
32,21958,0,1072,0,13237,36267,10757,0,501,0,5735,16993
33,22650,0,1090,0,13265,37005,11345,0,528,0,5894,17767
34,21129,0,966,0,12189,34284,10784,0,482,0,5618,16884
35,19997,0,993,0,11411,32401,10674,0,539,0,5574,16787
36,20696,0,949,0,12081,33726,10860,0,500,0,5692,17052
37,21454,0,1052,0,12728,35234,11491,0,533,0,6133,18157
38,20022,0,973,0,11732,32727,10899,0,530,0,5748,17177
39,19413,0,962,0,11544,31919,10852,0,539,0,6051,17442
40,19818,0,994,0,12359,33171,10988,0,546,0,6338,17872
41,20501,0,1062,0,12667,34230,11390,0,586,0,6702,18678
42,19965,0,1118,0,12699,33782,11203,0,614,0,6640,18457
43,19028,0,1050,0,12645,32723,10702,0,573,0,6725,18000
44,19890,0,1193,0,14669,35752,11045,0,606,0,7588,19239
45,19625,0,1157,0,14090,34872,10953,0,620,0,7208,18781
46,16789,0,996,0,12713,30498,9368,0,520,0,6391,16279
47,10685,0,524,0,7699,18908,6594,0,315,0,4743,11652
48,12096,0,590,0,9738,22424,7513,0,364,0,6149,14026
49,15006,0,768,0,15015,30789,9259,0,505,0,9667,19431
50,15171,0,695,0,15835,31701,9391,0,463,0,10413,20267
51,13371,0,643,0,16005,30019,8434,0,409,0,10530,19373
52,12099,0,535,0,13100,25734,7435,0,332,0,8569,16336
53,9421,0,383,0,10073,19877,5710,0,241,0,6527,12478
54,1,0,0,0,0,1,1,0,0,0,0,1
55,0,0,0,0,0,0,0,0,0,0,0,0
56,1,0,0,0,0,1,1,0,0,0,0,1
