win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,108,0,3,0,49,160,102,0,2,0,45,149
2,129,0,4,0,51,184,117,0,2,0,48,167
3,126,0,3,0,58,187,108,0,2,0,47,157
4,128,0,6,0,81,215,109,0,5,0,70,184
5,150,0,5,0,89,244,124,0,5,0,70,199
6,186,0,6,0,115,307,149,0,6,0,92,247
7,183,0,8,0,98,289,133,0,6,0,80,219
8,197,0,12,0,160,369,143,0,11,0,124,278
9,228,0,14,0,120,362,149,0,12,0,84,245
10,257,0,15,0,146,418,167,0,11,0,102,280
11,313,0,18,0,160,491,192,0,14,0,105,311
12,357,0,19,0,204,580,248,0,16,0,141,405
13,514,0,21,0,231,766,342,0,15,0,155,512
14,659,0,27,0,241,927,423,0,18,0,151,592
15,762,0,30,0,278,1070,456,0,21,0,164,641
16,1023,0,47,0,363,1433,615,0,26,0,220,861
17,1399,0,62,0,522,1983,792,0,37,0,281,1110
18,1678,0,88,0,652,2418,931,0,46,0,332,1309
19,2147,0,113,0,878,3138,1140,0,58,0,422,1620
20,2618,0,134,0,1034,3786,1442,0,74,0,538,2054
21,3912,0,245,0,1683,5840,2039,0,115,0,819,2973
22,4566,0,311,0,2046,6923,2195,0,128,0,896,3219
23,6657,0,525,0,3566,10748,2807,0,194,0,1263,4264
24,8398,0,769,0,5126,14293,3150,0,237,0,1746,5133
25,10783,0,991,0,6273,18047,4698,0,402,0,2570,7670
26,11325,0,1071,0,7116,19512,4683,0,393,0,2974,8050
27,11147,0,1196,0,6685,19028,4574,0,447,0,2457,7478
28,12802,0,1366,0,8042,22210,5501,0,518,0,3186,9205
29,14536,0,1373,0,8735,24644,6778,0,546,0,3836,11160
30,14283,0,1490,0,8741,24514,6698,0,588,0,3755,11041
31,14336,0,1467,0,8873,24676,6730,0,620,0,3821,11171
32,15646,0,1730,0,10449,27825,7497,0,719,0,4448,12664
33,17059,0,1807,0,10346,29212,9121,0,866,0,4974,14961
34,15732,0,1623,0,9150,26505,8860,0,797,0,4577,14234
35,14041,0,1483,0,8385,23909,7667,0,773,0,4280,12720
36,14774,0,1620,0,9709,26103,8055,0,860,0,5015,13930
37,16063,0,1799,0,10600,28462,8726,0,963,0,5435,15124
38,14062,0,1639,0,9777,25478,8293,0,953,0,5566,14812
39,13532,0,1629,0,9300,24461,8115,0,977,0,5528,14620
40,13545,0,1777,0,9749,25071,8101,0,1096,0,5792,14989
41,13564,0,1717,0,9775,25056,8181,0,1068,0,5732,14981
42,12911,0,1610,0,9846,24367,7848,0,967,0,5887,14702
43,12448,0,1689,0,10851,24988,7667,0,1054,0,6596,15317
44,13658,0,1912,0,12707,28277,8222,0,1115,0,7136,16473
45,13920,0,1869,0,13506,29295,8506,0,1064,0,7478,17048
46,11409,0,1642,0,11907,24958,7087,0,1045,0,6988,15120
47,3660,0,409,0,2870,6939,2558,0,291,0,2016,4865
48,5909,0,718,0,5216,11843,4096,0,529,0,3740,8365
49,8775,0,1140,0,11899,21814,6525,0,891,0,9753,17169
50,8354,0,1068,0,11662,21084,6311,0,878,0,9764,16953
51,7318,0,1034,0,11194,19546,5530,0,849,0,9426,15805
52,6220,0,814,0,9207,16241,4678,0,661,0,7677,13016
53,4758,0,604,0,6494,11856,3542,0,479,0,5419,9440
54,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0
