win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,5,0,0,0,0,5,4,0,0,0,0,4
2,5,0,0,0,0,5,4,0,0,0,0,4
3,9,0,0,0,3,12,7,0,0,0,1,8
4,9,0,0,0,4,13,8,0,0,0,1,9
5,10,0,0,0,3,13,10,0,0,0,1,11
6,20,0,0,0,3,23,20,0,0,0,2,22
7,19,0,0,0,6,25,17,0,0,0,2,19
8,89,0,0,0,23,112,68,0,0,0,14,82
9,73,0,1,0,32,106,55,0,0,0,14,69
10,68,0,1,0,30,99,48,0,0,0,14,62
11,105,0,0,0,40,145,71,0,0,0,24,95
12,110,0,2,0,43,155,73,0,0,0,26,99
13,139,0,3,0,58,200,87,0,2,0,30,119
14,194,0,9,0,62,265,118,0,3,0,32,153
15,216,0,5,0,79,300,122,0,2,0,43,167
16,254,0,6,0,92,352,133,0,3,0,47,183
17,340,0,9,0,126,475,181,0,6,0,65,252
18,400,0,11,0,155,566,189,0,7,0,66,262
19,514,0,16,0,221,751,226,0,6,0,101,333
20,619,0,19,0,254,892,288,0,9,0,126,423
21,842,0,23,0,393,1258,419,0,13,0,197,629
22,1100,0,36,0,477,1613,554,0,17,0,233,804
23,1660,0,50,0,634,2344,908,0,26,0,327,1261
24,1969,0,45,0,786,2800,1136,0,19,0,424,1579
25,2513,0,60,0,1002,3575,1373,0,32,0,524,1929
26,3024,0,84,0,1225,4333,1740,0,46,0,624,2410
27,3606,0,104,0,1437,5147,2103,0,51,0,774,2928
28,4120,0,132,0,1822,6074,2443,0,80,0,1037,3560
29,5164,0,166,0,2309,7639,3101,0,90,0,1331,4522
30,5830,0,197,0,2538,8565,3535,0,115,0,1513,5163
31,6313,0,245,0,2908,9466,3727,0,148,0,1714,5589
32,7089,0,261,0,3169,10519,4165,0,137,0,1762,6064
33,8024,0,302,0,3469,11795,4761,0,167,0,1876,6804
34,7940,0,323,0,3440,11703,4805,0,184,0,1917,6906
35,8249,0,347,0,3699,12295,5011,0,185,0,2112,7308
36,8517,0,349,0,3873,12739,5121,0,192,0,2210,7523
37,9780,0,402,0,4318,14500,5938,0,234,0,2433,8605
38,9851,0,423,0,4474,14748,6192,0,260,0,2676,9128
39,9907,0,501,0,4762,15170,6174,0,326,0,2793,9293
40,10616,0,524,0,5166,16306,6683,0,328,0,3117,10128
41,11353,0,558,0,5699,17610,7094,0,335,0,3364,10793
42,11730,0,585,0,6054,18369,7301,0,362,0,3582,11245
43,12322,0,630,0,6713,19665,7714,0,383,0,4074,12171
44,12734,0,685,0,7515,20934,7851,0,413,0,4368,12632
45,12774,0,709,0,7481,20964,7893,0,435,0,4372,12700
46,11217,0,625,0,6895,18737,6863,0,392,0,4145,11400
47,6799,0,402,0,4092,11293,4588,0,275,0,2601,7464
48,8232,0,456,0,5619,14307,5655,0,319,0,3819,9793
49,10467,0,581,0,8853,19901,7173,0,420,0,6127,13720
50,10407,0,558,0,9175,20140,7278,0,400,0,6536,14214
51,9236,0,506,0,9031,18773,6560,0,378,0,6596,13534
52,8461,0,448,0,7962,16871,5971,0,331,0,5870,12172
53,6574,0,352,0,6954,13880,4618,0,262,0,5287,10167
54,1,0,0,0,3,4,1,0,0,0,3,4
55,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0
