win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,335,0,23,0,368,726,271,0,14,0,246,531
2,349,0,11,0,383,743,279,0,7,0,268,554
3,409,0,20,0,407,836,312,0,16,0,285,613
4,392,0,20,0,411,823,306,0,13,0,299,618
5,506,0,19,0,504,1029,384,0,14,0,360,758
6,482,0,28,0,523,1033,352,0,21,0,359,732
7,554,0,29,0,515,1098,397,0,20,0,369,786
8,535,0,32,0,491,1058,376,0,19,0,329,724
9,621,0,36,0,535,1192,429,0,23,0,369,821
10,690,0,34,0,578,1302,484,0,24,0,377,885
11,814,0,37,0,578,1429,564,0,27,0,371,962
12,932,0,41,0,633,1606,637,0,23,0,401,1061
13,1019,0,59,0,651,1729,640,0,30,0,404,1074
14,1324,0,67,0,683,2074,893,0,40,0,457,1390
15,1554,0,75,0,821,2450,1077,0,51,0,542,1670
16,1913,0,83,0,1038,3034,1333,0,53,0,715,2101
17,2681,0,112,0,1333,4126,1798,0,70,0,872,2740
18,2820,0,145,0,1377,4342,1851,0,99,0,906,2856
19,3304,0,157,0,1759,5220,2108,0,101,0,1146,3355
20,3614,0,183,0,1869,5666,2364,0,112,0,1198,3674
21,5036,0,238,0,2377,7651,3262,0,143,0,1520,4925
22,5856,0,322,0,2884,9062,3722,0,199,0,1769,5690
23,6690,0,413,0,3406,10509,4166,0,257,0,2045,6468
24,7787,0,514,0,3996,12297,4835,0,332,0,2325,7492
25,9687,0,710,0,5183,15580,5931,0,431,0,2987,9349
26,10705,0,790,0,5882,17377,6241,0,443,0,3171,9855
27,12299,0,1023,0,7093,20415,6883,0,571,0,3757,11211
28,14190,0,1247,0,8442,23879,7471,0,633,0,4078,12182
29,19279,0,2229,0,12386,33894,8945,0,917,0,4840,14702
30,21849,0,2500,0,14848,39197,9663,0,929,0,5224,15816
31,22018,0,2694,0,14904,39616,9768,0,1092,0,5417,16277
32,24779,0,3238,0,18326,46343,10949,0,1342,0,7113,19404
33,24794,0,3068,0,17098,44960,12223,0,1523,0,7455,21201
34,22030,0,2722,0,14912,39664,11409,0,1384,0,6671,19464
35,21086,0,2623,0,14431,38140,11401,0,1474,0,7301,20176
36,23883,0,3165,0,16485,43533,13471,0,1836,0,8177,23484
37,24478,0,3404,0,18251,46133,13010,0,1864,0,9036,23910
38,21571,0,2873,0,16249,40693,12290,0,1725,0,8951,22966
39,20867,0,2741,0,14807,38415,12154,0,1732,0,8490,22376
40,21788,0,3235,0,16951,41974,12807,0,1965,0,9777,24549
41,23680,0,3569,0,19101,46350,14520,0,2201,0,11331,28052
42,21238,0,3233,0,18188,42659,12642,0,1978,0,10436,25056
43,20826,0,3247,0,19194,43267,12332,0,1960,0,10782,25074
44,24490,0,4118,0,27019,55627,14315,0,2402,0,14651,31368
45,23455,0,4090,0,27338,54883,13039,0,2110,0,13346,28495
46,18509,0,3079,0,21156,42744,10393,0,1678,0,10290,22361
47,6466,0,756,0,4940,12162,4561,0,567,0,3503,8631
48,9193,0,1063,0,8409,18665,6181,0,740,0,5848,12769
49,13015,0,1600,0,17026,31641,9180,0,1176,0,13325,23681
50,12278,0,1556,0,17171,31005,8967,0,1192,0,13900,24059
51,10927,0,1376,0,16134,28437,7947,0,1066,0,13097,22110
52,10280,0,1337,0,15696,27313,7587,0,1054,0,12956,21597
53,7555,0,926,0,10086,18567,5401,0,699,0,8103,14203
54,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0
