win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,1230,0,73,0,1610,2913,857,0,56,0,1039,1952
2,1308,0,86,0,1790,3184,875,0,60,0,1096,2031
3,1376,0,95,0,1768,3239,890,0,68,0,1106,2064
4,1452,0,80,0,1895,3427,942,0,54,0,1171,2167
5,1729,0,93,0,2090,3912,1129,0,72,0,1287,2488
6,2020,0,120,0,2353,4493,1365,0,89,0,1454,2908
7,2212,0,125,0,2546,4883,1507,0,92,0,1605,3204
8,2451,0,137,0,2758,5346,1629,0,103,0,1701,3433
9,2794,0,166,0,2946,5906,1847,0,114,0,1788,3749
10,3112,0,158,0,3161,6431,2013,0,103,0,1844,3960
11,3428,0,174,0,3315,6917,2256,0,122,0,2038,4416
12,3967,0,191,0,3566,7724,2576,0,131,0,2125,4832
13,4807,0,226,0,4014,9047,3130,0,155,0,2347,5632
14,5526,0,240,0,4479,10245,3393,0,147,0,2515,6055
15,6185,0,262,0,4742,11189,3813,0,156,0,2653,6622
16,7333,0,376,0,5231,12940,4402,0,222,0,2847,7471
17,9544,0,474,0,6933,16951,5361,0,261,0,3509,9131
18,10516,0,565,0,7546,18627,5856,0,297,0,3677,9830
19,12563,0,758,0,9452,22773,6807,0,384,0,4452,11643
20,13098,0,745,0,9539,23382,6958,0,359,0,4363,11680
21,16578,0,938,0,11921,29437,8576,0,445,0,5291,14312
22,17892,0,1134,0,13456,32482,9179,0,537,0,5979,15695
23,18650,0,1057,0,14197,33904,10013,0,525,0,6636,17174
24,22027,0,1448,0,17905,41380,10770,0,559,0,7194,18523
25,25024,0,1699,0,20277,47000,12014,0,671,0,7933,20618
26,26256,0,1834,0,21392,49482,12886,0,713,0,8289,21888
27,25447,0,1657,0,20054,47158,13339,0,771,0,8549,22659
28,29734,0,2014,0,24789,56537,14284,0,765,0,9163,24212
29,33011,0,2469,0,27258,62738,15997,0,1014,0,10479,27490
30,35590,0,2777,0,31317,69684,16934,0,1000,0,11475,29409
31,32799,0,2409,0,27402,62610,17317,0,1053,0,11524,29894
32,39087,0,3116,0,34951,77154,18782,0,1179,0,13282,33243
33,37198,0,2871,0,31888,71957,19659,0,1300,0,14072,35031
34,33943,0,2556,0,27677,64176,19151,0,1310,0,13192,33653
35,30992,0,2290,0,24405,57687,18811,0,1281,0,12697,32789
36,33182,0,2496,0,28372,64050,19240,0,1317,0,13867,34424
37,36305,0,2917,0,31695,70917,20975,0,1554,0,15498,38027
38,32193,0,2506,0,27832,62531,19708,0,1482,0,15177,36367
39,29861,0,2251,0,25517,57629,19455,0,1448,0,15244,36147
40,32238,0,2603,0,28444,63285,20852,0,1622,0,16405,38879
41,32233,0,2661,0,28460,63354,20335,0,1582,0,15895,37812
42,30858,0,2595,0,28439,61892,19403,0,1455,0,15514,36372
43,29640,0,2558,0,29826,62024,18991,0,1503,0,16251,36745
44,34073,0,3405,0,40698,78176,19935,0,1656,0,18496,40087
45,32798,0,3380,0,40734,76912,19070,0,1612,0,18196,38878
46,26943,0,2839,0,34922,64704,15710,0,1382,0,15896,32988
47,11979,0,817,0,10728,23524,9081,0,643,0,8015,17739
48,14433,0,989,0,15363,30785,10907,0,752,0,11707,23366
49,18493,0,1299,0,25120,44912,14104,0,979,0,20021,35104
50,17791,0,1247,0,25396,44434,13747,0,965,0,20526,35238
51,15815,0,1118,0,23705,40638,12339,0,869,0,19400,32608
52,14464,0,1035,0,21176,36675,11099,0,815,0,17204,29118
53,11144,0,752,0,16042,27938,8691,0,589,0,13233,22513
54,0,0,0,0,0,0,0,0,0,0,0,0
55,1,0,0,0,0,1,1,0,0,0,0,1
56,0,0,0,0,0,0,0,0,0,0,0,0
