win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,356,0,14,0,261,631,241,0,8,0,166,415
2,422,0,19,0,299,740,276,0,12,0,171,459
3,538,0,21,0,357,916,367,0,15,0,206,588
4,620,0,27,0,369,1016,384,0,18,0,199,601
5,747,0,21,0,464,1232,458,0,16,0,243,717
6,820,0,32,0,553,1405,484,0,18,0,280,782
7,957,0,39,0,593,1589,575,0,23,0,310,908
8,1194,0,36,0,674,1904,675,0,22,0,336,1033
9,1639,0,57,0,943,2639,929,0,28,0,502,1459
10,1939,0,66,0,1047,3052,1153,0,45,0,547,1745
11,2590,0,86,0,1279,3955,1564,0,57,0,723,2344
12,3246,0,99,0,1499,4844,1963,0,55,0,832,2850
13,4367,0,139,0,1938,6444,2642,0,84,0,1067,3793
14,5835,0,171,0,2481,8487,3464,0,92,0,1383,4939
15,7078,0,260,0,2984,10322,4112,0,132,0,1643,5887
16,8404,0,278,0,3519,12201,4805,0,137,0,1884,6826
17,11996,0,448,0,5176,17620,6523,0,201,0,2511,9235
18,13679,0,550,0,6197,20426,7120,0,243,0,2843,10206
19,16572,0,746,0,8232,25550,8466,0,282,0,3576,12324
20,17387,0,736,0,8410,26533,9187,0,295,0,3909,13391
21,23241,0,1058,0,11438,35737,12097,0,442,0,5128,17667
22,25435,0,1210,0,12871,39516,13007,0,450,0,5458,18915
23,28689,0,1492,0,14937,45118,15087,0,636,0,6757,22480
24,31824,0,1712,0,17624,51160,16524,0,658,0,7673,24855
25,37438,0,2121,0,20105,59664,19780,0,894,0,8931,29605
26,39818,0,2372,0,21965,64155,20320,0,944,0,9317,30581
27,41738,0,2577,0,23259,67574,21720,0,1067,0,10312,33099
28,46010,0,3065,0,26852,75927,23638,0,1186,0,11614,36438
29,53073,0,3539,0,30314,86926,28173,0,1498,0,14154,43825
30,56871,0,4017,0,33855,94743,30254,0,1722,0,15749,47725
31,57573,0,4153,0,34440,96166,31116,0,1883,0,16525,49524
32,63956,0,4886,0,39591,108433,33539,0,2086,0,17642,53267
33,67220,0,4971,0,39523,111714,38251,0,2501,0,19962,60714
34,62306,0,4459,0,35651,102416,36499,0,2344,0,18919,57762
35,58971,0,4473,0,33772,97216,35177,0,2467,0,18549,56193
36,61807,0,4870,0,37707,104384,36823,0,2677,0,20769,60269
37,67318,0,5771,0,41687,114776,40502,0,3375,0,23527,67404
38,62006,0,4973,0,37345,104324,38792,0,3000,0,22051,63843
39,60905,0,5098,0,37865,103868,39317,0,3193,0,23651,66161
40,62178,0,5314,0,40139,107631,39798,0,3228,0,24712,67738
41,64192,0,6034,0,42250,112476,40817,0,3769,0,26102,70688
42,61727,0,5811,0,42421,109959,39080,0,3575,0,25732,68387
43,60288,0,6039,0,45441,111768,37821,0,3748,0,27309,68878
44,68857,0,7415,0,57896,134168,43471,0,4579,0,34736,82786
45,63875,0,7036,0,54596,125507,38635,0,3953,0,30497,73085
46,50262,0,5449,0,44314,100025,30129,0,2938,0,24084,57151
47,20779,0,1589,0,15485,37853,14362,0,1083,0,10983,26428
48,27027,0,2110,0,22242,51379,18805,0,1516,0,16233,36554
49,37410,0,3115,0,42006,82531,26959,0,2328,0,32748,62035
50,36061,0,2828,0,42344,81233,26736,0,2155,0,33905,62796
51,31888,0,2659,0,40630,75177,23537,0,2065,0,32927,58529
52,27733,0,2527,0,36684,66944,20671,0,2018,0,29865,52554
53,20458,0,1740,0,25597,47795,15014,0,1353,0,20541,36908
54,0,0,0,0,1,1,0,0,0,0,0,0
55,0,0,0,0,2,2,0,0,0,0,2,2
56,0,0,0,0,1,1,0,0,0,0,1,1
