win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,0,0,0,0,1,1,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,3,3,0,0,0,0,3,3
5,0,0,0,0,3,3,0,0,0,0,3,3
6,4,0,0,0,5,9,3,0,0,0,4,7
7,6,0,0,0,3,9,3,0,0,0,3,6
8,5,0,0,0,4,9,3,0,0,0,2,5
9,10,0,0,0,6,16,3,0,0,0,3,6
10,12,0,0,0,7,19,6,0,0,0,2,8
11,10,0,0,0,5,15,4,0,0,0,2,6
12,15,0,0,0,3,18,6,0,0,0,2,8
13,14,0,1,0,4,19,4,0,0,0,1,5
14,17,0,1,0,4,22,6,0,0,0,1,7
15,18,0,2,0,9,29,4,0,0,0,4,8
16,33,0,2,0,9,44,14,0,0,0,6,20
17,40,0,2,0,16,58,22,0,0,0,12,34
18,49,0,2,0,18,69,24,0,0,0,8,32
19,64,0,2,0,29,95,33,0,0,0,15,48
20,69,0,5,0,24,98,35,0,1,0,7,43
21,97,0,7,0,30,134,53,0,5,0,15,73
22,167,0,15,0,53,235,90,0,10,0,26,126
23,180,0,9,0,72,261,101,0,3,0,35,139
24,187,0,16,0,86,289,89,0,4,0,39,132
25,268,0,38,0,111,417,132,0,17,0,41,190
26,317,0,29,0,123,469,138,0,14,0,62,214
27,426,0,44,0,281,751,199,0,18,0,197,414
28,488,0,46,0,287,821,230,0,19,0,166,415
29,627,0,64,0,268,959,268,0,32,0,130,430
30,736,0,76,0,324,1136,291,0,28,0,125,444
31,994,0,117,0,512,1623,400,0,44,0,196,640
32,1509,0,195,0,857,2561,519,0,58,0,253,830
33,1808,0,281,0,1071,3160,595,0,93,0,331,1019
34,1575,0,211,0,898,2684,576,0,75,0,342,993
35,1527,0,168,0,782,2477,672,0,64,0,319,1055
36,1783,0,187,0,1131,3101,834,0,65,0,503,1402
37,2484,0,325,0,1659,4468,1286,0,139,0,825,2250
38,2556,0,317,0,1773,4646,1419,0,135,0,987,2541
39,2647,0,346,0,1961,4954,1537,0,182,0,1244,2963
40,2773,0,372,0,2186,5331,1474,0,177,0,1317,2968
41,2830,0,405,0,2183,5418,1507,0,168,0,1200,2875
42,3031,0,461,0,2409,5901,1534,0,211,0,1321,3066
43,3162,0,507,0,2879,6548,1611,0,258,0,1562,3431
44,3723,0,648,0,4190,8561,1750,0,291,0,1901,3942
45,3835,0,712,0,4754,9301,1766,0,286,0,2211,4263
46,3463,0,655,0,4658,8776,1607,0,291,0,2226,4124
47,1042,0,152,0,817,2011,559,0,73,0,458,1090
48,1248,0,162,0,1236,2646,717,0,89,0,799,1605
49,1878,0,255,0,2958,5091,1213,0,165,0,2314,3692
50,1826,0,252,0,3089,5167,1264,0,172,0,2494,3930
51,1575,0,224,0,2848,4647,1060,0,153,0,2271,3484
52,1290,0,168,0,2192,3650,871,0,115,0,1739,2725
53,906,0,125,0,1477,2508,567,0,77,0,1117,1761
54,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0
