win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,56,0,0,0,83,139,29,0,0,0,28,57
2,78,0,1,0,72,151,46,0,1,0,19,66
3,98,0,3,0,83,184,58,0,2,0,21,81
4,127,0,9,0,98,234,61,0,4,0,24,89
5,177,0,10,0,119,306,86,0,5,0,39,130
6,211,0,6,0,140,357,125,0,3,0,58,186
7,265,0,5,0,164,434,141,0,4,0,66,211
8,255,0,9,0,144,408,143,0,6,0,47,196
9,327,0,5,0,163,495,168,0,3,0,58,229
10,374,0,9,0,187,570,199,0,7,0,65,271
11,491,0,9,0,186,686,266,0,6,0,72,344
12,584,0,17,0,227,828,322,0,11,0,100,433
13,803,0,17,0,285,1105,466,0,10,0,131,607
14,1021,0,28,0,340,1389,590,0,16,0,160,766
15,1296,0,33,0,419,1748,794,0,19,0,203,1016
16,1440,0,43,0,473,1956,860,0,22,0,239,1121
17,1947,0,60,0,671,2678,1151,0,25,0,321,1497
18,2115,0,67,0,777,2959,1204,0,27,0,354,1585
19,2894,0,82,0,1101,4077,1729,0,39,0,549,2317
20,2881,0,79,0,1181,4141,1612,0,39,0,558,2209
21,3609,0,102,0,1442,5153,2037,0,45,0,685,2767
22,3689,0,95,0,1598,5382,2075,0,34,0,767,2876
23,4193,0,123,0,1904,6220,2409,0,46,0,923,3378
24,5054,0,178,0,2396,7628,2688,0,67,0,1032,3787
25,5483,0,222,0,2596,8301,2914,0,79,0,1097,4090
26,5632,0,286,0,2765,8683,2914,0,99,0,1207,4220
27,5775,0,293,0,2981,9049,3112,0,131,0,1368,4611
28,6001,0,275,0,3393,9669,3286,0,117,0,1664,5067
29,6374,0,320,0,3357,10051,3452,0,140,0,1548,5140
30,6798,0,354,0,3776,10928,3754,0,133,0,1691,5578
31,6826,0,340,0,4070,11236,3907,0,149,0,1834,5890
32,6757,0,393,0,4360,11510,3720,0,147,0,1893,5760
33,6425,0,310,0,4125,10860,3617,0,147,0,1937,5701
34,5989,0,285,0,3742,10016,3575,0,148,0,1956,5679
35,5601,0,265,0,3521,9387,3468,0,146,0,1806,5420
36,5234,0,247,0,3374,8855,3189,0,139,0,1762,5090
37,5290,0,270,0,3381,8941,3276,0,142,0,1823,5241
38,4816,0,259,0,3176,8251,3065,0,144,0,1842,5051
39,4545,0,228,0,3013,7786,3026,0,134,0,1811,4971
40,4762,0,248,0,2912,7922,3171,0,147,0,1740,5058
41,4231,0,242,0,2640,7113,2828,0,134,0,1570,4532
42,4008,0,253,0,2543,6804,2682,0,154,0,1584,4420
43,3838,0,211,0,2606,6655,2629,0,122,0,1614,4365
44,3709,0,213,0,2716,6638,2526,0,117,0,1766,4409
45,3420,0,199,0,2399,6018,2325,0,115,0,1435,3875
46,2731,0,179,0,1999,4909,1863,0,111,0,1231,3205
47,1260,0,69,0,882,2211,909,0,52,0,648,1609
48,1637,0,84,0,1322,3043,1153,0,55,0,920,2128
49,2377,0,94,0,2393,4864,1746,0,65,0,1779,3590
50,2443,0,120,0,2613,5176,1840,0,89,0,1996,3925
51,2209,0,99,0,2455,4763,1674,0,77,0,1924,3675
52,1745,0,87,0,2069,3901,1350,0,62,0,1577,2989
53,1263,0,59,0,1416,2738,944,0,43,0,1088,2075
54,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0
