win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,670,0,26,0,722,1418,432,0,17,0,441,890
2,698,0,23,0,724,1445,438,0,14,0,471,923
3,788,0,25,0,821,1634,497,0,16,0,512,1025
4,955,0,42,0,867,1864,590,0,25,0,528,1143
5,1064,0,48,0,961,2073,666,0,32,0,597,1295
6,1146,0,62,0,1074,2282,742,0,42,0,636,1420
7,1260,0,61,0,1172,2493,804,0,41,0,693,1538
8,1373,0,61,0,1284,2718,840,0,37,0,729,1606
9,1634,0,77,0,1352,3063,963,0,45,0,739,1747
10,1808,0,80,0,1457,3345,1023,0,47,0,781,1851
11,2075,0,81,0,1549,3705,1179,0,48,0,833,2060
12,2525,0,95,0,1723,4343,1435,0,50,0,913,2398
13,3234,0,123,0,2144,5501,1859,0,71,0,1132,3062
14,3933,0,132,0,2473,6538,2207,0,60,0,1326,3593
15,4580,0,161,0,2788,7529,2536,0,78,0,1444,4058
16,5347,0,203,0,3202,8752,2965,0,85,0,1668,4718
17,7154,0,270,0,4296,11720,3773,0,114,0,2043,5930
18,7642,0,291,0,4455,12388,3960,0,126,0,2112,6198
19,9517,0,350,0,5682,15549,4795,0,155,0,2444,7394
20,9408,0,382,0,5746,15536,4941,0,167,0,2587,7695
21,11972,0,532,0,7296,19800,6166,0,210,0,3254,9630
22,12833,0,548,0,7859,21240,6598,0,214,0,3478,10290
23,14058,0,598,0,8727,23383,7217,0,249,0,3772,11238
24,15417,0,716,0,10057,26190,7837,0,281,0,4175,12293
25,17403,0,834,0,11298,29535,8811,0,309,0,4762,13882
26,17969,0,918,0,11847,30734,9064,0,327,0,5011,14402
27,18294,0,891,0,12037,31222,9203,0,334,0,5096,14633
28,19730,0,1015,0,13453,34198,9815,0,365,0,5434,15614
29,21745,0,1092,0,14642,37479,11279,0,435,0,6374,18088
30,22392,0,1228,0,15256,38876,11306,0,459,0,6380,18145
31,21872,0,1214,0,15023,38109,11195,0,512,0,6453,18160
32,23795,0,1332,0,16716,41843,11917,0,505,0,7037,19459
33,24166,0,1268,0,16875,42309,12872,0,542,0,8226,21640
34,22289,0,1192,0,14575,38056,12083,0,553,0,7102,19738
35,20743,0,1065,0,13421,35229,11548,0,528,0,6713,18789
36,21498,0,1102,0,14522,37122,11849,0,555,0,7295,19699
37,22860,0,1236,0,15551,39647,12889,0,594,0,8068,21551
38,20551,0,1122,0,14041,35714,11712,0,554,0,7597,19863
39,19479,0,1047,0,12872,33398,11505,0,562,0,7276,19343
40,19395,0,1041,0,13313,33749,11336,0,528,0,7338,19202
41,19647,0,1063,0,13308,34018,11471,0,511,0,7330,19312
42,18188,0,1064,0,12765,32017,10434,0,546,0,6891,17871
43,17492,0,936,0,12246,30674,10042,0,477,0,6471,16990
44,18245,0,1087,0,13925,33257,10381,0,517,0,6718,17616
45,17293,0,1046,0,13695,32034,9603,0,475,0,6494,16572
46,13913,0,890,0,11184,25987,7913,0,433,0,5296,13642
47,6964,0,371,0,4768,12103,4683,0,254,0,3168,8105
48,8942,0,451,0,6791,16184,5832,0,291,0,4465,10588
49,12132,0,571,0,11251,23954,8122,0,385,0,7721,16228
50,11435,0,541,0,11239,23215,7814,0,369,0,7734,15917
51,10412,0,536,0,10514,21462,7015,0,378,0,7440,14833
52,9771,0,517,0,10002,20290,6757,0,363,0,7087,14207
53,7280,0,327,0,7240,14847,4938,0,232,0,5098,10268
54,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0
