win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,1214,0,37,0,861,2112,856,0,27,0,552,1435
2,1340,0,42,0,965,2347,927,0,28,0,616,1571
3,1574,0,45,0,1167,2786,1067,0,30,0,713,1810
4,1701,0,55,0,1190,2946,1121,0,38,0,728,1887
5,2106,0,65,0,1472,3643,1357,0,40,0,878,2275
6,2194,0,71,0,1513,3778,1391,0,42,0,900,2333
7,2534,0,79,0,1680,4293,1584,0,49,0,1024,2657
8,2792,0,85,0,1861,4738,1668,0,52,0,1113,2833
9,3269,0,91,0,2079,5439,1998,0,63,0,1226,3287
10,3643,0,116,0,2202,5961,2170,0,68,0,1299,3537
11,4152,0,145,0,2293,6590,2457,0,84,0,1306,3847
12,4650,0,155,0,2487,7292,2787,0,89,0,1397,4273
13,5593,0,187,0,2809,8589,3271,0,100,0,1572,4943
14,6466,0,204,0,3202,9872,3788,0,113,0,1749,5650
15,7246,0,257,0,3498,11001,4201,0,138,0,1903,6242
16,8206,0,291,0,3887,12384,4641,0,167,0,2082,6890
17,10738,0,406,0,5058,16202,5944,0,201,0,2556,8701
18,11626,0,446,0,5444,17516,6180,0,198,0,2625,9003
19,13302,0,584,0,6493,20379,7219,0,259,0,3108,10586
20,13630,0,562,0,6436,20628,7526,0,274,0,3182,10982
21,17250,0,761,0,8347,26358,9285,0,342,0,4097,13724
22,18782,0,958,0,9417,29157,10071,0,442,0,4599,15112
23,20852,0,1072,0,10609,32533,11483,0,509,0,5136,17128
24,22219,0,1221,0,11937,35377,11825,0,512,0,5476,17813
25,25265,0,1466,0,13648,40379,13321,0,658,0,6426,20405
26,26708,0,1617,0,14730,43055,13787,0,647,0,6701,21135
27,27568,0,1744,0,14853,44165,14718,0,811,0,7000,22529
28,29842,0,1911,0,16054,47807,15647,0,837,0,7249,23733
29,33108,0,2175,0,18094,53377,17250,0,901,0,8123,26274
30,34652,0,2363,0,19386,56401,18134,0,987,0,8564,27685
31,34979,0,2488,0,19670,57137,18580,0,1148,0,9235,28963
32,38346,0,2734,0,22380,63460,19982,0,1150,0,10182,31314
33,40302,0,2841,0,22891,66034,22058,0,1383,0,11233,34674
34,38323,0,2722,0,21569,62614,21543,0,1378,0,10994,33915
35,38397,0,2593,0,21432,62422,22551,0,1350,0,11762,35663
36,38904,0,2742,0,22718,64364,22261,0,1394,0,11920,35575
37,42132,0,3206,0,25100,70438,23746,0,1633,0,13091,38470
38,40448,0,2910,0,24365,67723,23612,0,1515,0,13350,38477
39,38925,0,2807,0,23708,65440,23095,0,1556,0,13470,38121
40,41041,0,3136,0,25637,69814,24107,0,1698,0,14300,40105
41,42603,0,3271,0,26678,72552,24970,0,1756,0,14939,41665
42,41965,0,3368,0,27277,72610,24317,0,1769,0,15090,41176
43,40748,0,3232,0,27849,71829,23847,0,1719,0,15539,41105
44,44111,0,3872,0,33400,81383,24937,0,1910,0,17212,44059
45,43109,0,3806,0,34350,81265,24061,0,1872,0,17154,43087
46,36798,0,3291,0,32932,73021,20963,0,1697,0,18140,40800
47,18855,0,1337,0,13146,33338,12584,0,866,0,8799,22249
48,23298,0,1642,0,18360,43300,15360,0,1038,0,12329,28727
49,29573,0,2136,0,29894,61603,19634,0,1359,0,20812,41805
50,29027,0,2075,0,31408,62510,19648,0,1412,0,22481,43541
51,25846,0,1879,0,29963,57688,17724,0,1286,0,21872,40882
52,23339,0,1658,0,27434,52431,15935,0,1138,0,20005,37078
53,17855,0,1281,0,20469,39605,12038,0,853,0,14918,27809
54,2,0,0,0,1,3,2,0,0,0,0,2
55,1,0,0,0,1,2,1,0,0,0,1,2
56,1,0,0,0,0,1,1,0,0,0,0,1
