win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,451,0,11,0,242,704,313,0,7,0,132,452
2,821,0,15,0,274,1110,572,0,10,0,168,750
3,1063,0,24,0,316,1403,719,0,18,0,180,917
4,1326,0,35,0,365,1726,906,0,22,0,235,1163
5,1634,0,40,0,458,2132,1130,0,26,0,272,1428
6,1769,0,46,0,526,2341,1212,0,30,0,334,1576
7,1958,0,58,0,602,2618,1340,0,37,0,363,1740
8,2361,0,67,0,651,3079,1621,0,42,0,424,2087
9,2736,0,74,0,753,3563,1861,0,43,0,470,2374
10,2922,0,81,0,835,3838,1959,0,47,0,493,2499
11,3605,0,118,0,1024,4747,2484,0,67,0,666,3217
12,4172,0,125,0,1281,5578,2927,0,76,0,835,3838
13,5097,0,147,0,1420,6664,3516,0,81,0,898,4495
14,6095,0,185,0,1693,7973,4146,0,109,0,1058,5313
15,6954,0,214,0,1924,9092,4601,0,130,0,1147,5878
16,7714,0,241,0,2292,10247,4953,0,141,0,1363,6457
17,10314,0,356,0,3232,13902,6578,0,189,0,1867,8634
18,10676,0,360,0,3361,14397,6572,0,167,0,1872,8611
19,12459,0,495,0,4454,17408,7471,0,235,0,2275,9981
20,12452,0,494,0,4320,17266,7441,0,241,0,2314,9996
21,15752,0,679,0,5790,22221,9541,0,286,0,3157,12984
22,16411,0,753,0,6212,23376,9808,0,336,0,3336,13480
23,18100,0,866,0,6934,25900,10853,0,426,0,3696,14975
24,19122,0,1045,0,7423,27590,11354,0,476,0,3804,15634
25,20398,0,1086,0,7544,29028,12006,0,469,0,3827,16302
26,20985,0,1340,0,7971,30296,12224,0,572,0,3926,16722
27,20551,0,1330,0,7698,29579,11902,0,561,0,3776,16239
28,21049,0,1400,0,8131,30580,12060,0,586,0,4070,16716
29,22237,0,1543,0,8771,32551,12705,0,708,0,4502,17915
30,22545,0,1685,0,9012,33242,12856,0,740,0,4424,18020
31,21660,0,1641,0,8675,31976,12390,0,807,0,4475,17672
32,22537,0,1857,0,10212,34606,13071,0,946,0,5719,19736
33,22925,0,1912,0,9846,34683,13879,0,1145,0,5797,20821
34,21023,0,1877,0,9225,32125,12740,0,1131,0,5726,19597
35,19635,0,1772,0,7940,29347,11880,0,1097,0,4661,17638
36,19128,0,1678,0,8323,29129,11705,0,1010,0,4942,17657
37,19851,0,1785,0,9120,30756,12194,0,1125,0,5725,19044
38,18373,0,1750,0,8405,28528,11663,0,1161,0,5445,18269
39,17271,0,1795,0,7757,26823,10884,0,1233,0,5007,17124
40,16972,0,1780,0,7904,26656,10705,0,1231,0,5066,17002
41,16436,0,1756,0,7834,26026,10493,0,1272,0,5202,16967
42,15947,0,1767,0,7696,25410,10158,0,1256,0,5044,16458
43,15038,0,1802,0,8712,25552,9563,0,1182,0,5476,16221
44,15160,0,1721,0,9233,26114,9478,0,1041,0,5548,16067
45,14691,0,1654,0,9070,25415,9117,0,946,0,5449,15512
46,11621,0,1375,0,7184,20180,7074,0,813,0,4103,11990
47,5304,0,441,0,2496,8241,3671,0,296,0,1692,5659
48,6851,0,562,0,3948,11361,4713,0,402,0,2802,7917
49,9705,0,874,0,7814,18393,6770,0,635,0,6078,13483
50,9281,0,798,0,7541,17620,6529,0,593,0,5922,13044
51,8037,0,697,0,6954,15688,5627,0,522,0,5410,11559
52,7334,0,732,0,6721,14787,5258,0,565,0,5428,11251
53,5944,0,539,0,5830,12313,4175,0,410,0,4776,9361
54,0,0,0,0,0,0,0,0,0,0,0,0
55,1,0,0,0,0,1,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0
