win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,456,0,9,0,235,700,251,0,6,0,101,358
2,480,0,11,0,241,732,258,0,7,0,88,353
3,556,0,14,0,268,838,302,0,8,0,113,423
4,572,0,18,0,283,873,309,0,11,0,129,449
5,681,0,14,0,341,1036,379,0,9,0,163,551
6,698,0,17,0,339,1054,385,0,10,0,151,546
7,750,0,19,0,408,1177,393,0,11,0,199,603
8,772,0,14,0,435,1221,409,0,8,0,212,629
9,988,0,25,0,517,1530,567,0,13,0,253,833
10,1256,0,34,0,603,1893,816,0,21,0,354,1191
11,1225,0,43,0,600,1868,756,0,31,0,304,1091
12,1460,0,38,0,644,2142,924,0,28,0,340,1292
13,1735,0,40,0,734,2509,1001,0,29,0,375,1405
14,1933,0,48,0,899,2880,1109,0,30,0,433,1572
15,2315,0,62,0,918,3295,1344,0,48,0,441,1833
16,2594,0,63,0,1083,3740,1403,0,37,0,489,1929
17,3276,0,102,0,1363,4741,1686,0,56,0,605,2347
18,3631,0,101,0,1535,5267,1818,0,54,0,647,2519
19,4346,0,145,0,1998,6489,2212,0,75,0,873,3160
20,4398,0,125,0,1930,6453,2252,0,56,0,884,3192
21,5822,0,187,0,2721,8730,2976,0,100,0,1270,4346
22,6066,0,207,0,2917,9190,2995,0,102,0,1346,4443
23,7100,0,234,0,3755,11089,3587,0,117,0,1977,5681
24,7896,0,252,0,4043,12191,4003,0,140,0,1961,6104
25,9233,0,346,0,4636,14215,4730,0,182,0,2241,7153
26,9595,0,340,0,4756,14691,4703,0,175,0,2243,7121
27,10257,0,353,0,4988,15598,5042,0,167,0,2280,7489
28,11270,0,432,0,5497,17199,5643,0,217,0,2551,8411
29,12774,0,500,0,6186,19460,6399,0,237,0,2876,9512
30,13852,0,559,0,6721,21132,6961,0,278,0,3089,10328
31,14063,0,587,0,6730,21380,6986,0,294,0,3113,10393
32,15264,0,639,0,7502,23405,7580,0,318,0,3451,11349
33,16848,0,725,0,8115,25688,8793,0,381,0,3943,13117
34,16065,0,752,0,7610,24427,8534,0,418,0,3773,12725
35,15601,0,784,0,7411,23796,8283,0,441,0,3793,12517
36,15914,0,722,0,7829,24465,8526,0,384,0,3958,12868
37,17200,0,831,0,8866,26897,9353,0,476,0,4574,14403
38,16356,0,880,0,8269,25505,9149,0,555,0,4476,14180
39,15951,0,847,0,8399,25197,9121,0,539,0,4514,14174
40,16113,0,852,0,8380,25345,9264,0,516,0,4647,14427
41,16672,0,975,0,9111,26758,9690,0,628,0,5055,15373
42,16516,0,937,0,9057,26510,9629,0,581,0,5135,15345
43,15789,0,930,0,9568,26287,9399,0,573,0,5915,15887
44,16487,0,1017,0,9880,27384,9803,0,631,0,5863,16297
45,15923,0,976,0,10061,26960,9429,0,624,0,5869,15922
46,13316,0,858,0,8577,22751,7957,0,564,0,5147,13668
47,5872,0,314,0,3600,9786,3669,0,228,0,2456,6353
48,8366,0,436,0,5640,14442,5222,0,293,0,3813,9328
49,11849,0,686,0,10828,23363,7887,0,481,0,7991,16359
50,11406,0,629,0,11240,23275,7677,0,457,0,8379,16513
51,9667,0,584,0,9997,20248,6481,0,432,0,7582,14495
52,8437,0,486,0,8698,17621,5592,0,356,0,6551,12499
53,6185,0,393,0,7215,13793,3974,0,272,0,5467,9713
54,0,0,0,0,1,1,0,0,0,0,0,0
55,1,0,0,0,0,1,1,0,0,0,0,1
56,0,0,0,0,1,1,0,0,0,0,1,1
