win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,4,0,0,0,8,12,3,0,0,0,8,11
2,4,0,1,0,7,12,3,0,0,0,7,10
3,3,0,1,0,8,12,2,0,0,0,8,10
4,4,0,0,0,10,14,3,0,0,0,10,13
5,5,0,0,0,12,17,4,0,0,0,12,16
6,5,0,0,0,15,20,3,0,0,0,12,15
7,7,0,0,0,13,20,4,0,0,0,12,16
8,10,0,0,0,20,30,5,0,0,0,18,23
9,9,0,0,0,15,24,5,0,0,0,15,20
10,7,0,0,0,12,19,3,0,0,0,12,15
11,14,0,0,0,9,23,8,0,0,0,9,17
12,15,0,0,0,8,23,12,0,0,0,7,19
13,21,0,0,0,8,29,19,0,0,0,7,26
14,33,0,0,0,18,51,27,0,0,0,16,43
15,45,0,1,0,13,59,41,0,1,0,12,54
16,45,0,1,0,18,64,38,0,1,0,12,51
17,66,0,1,0,31,98,45,0,1,0,19,65
18,73,0,2,0,29,104,48,0,1,0,20,69
19,88,0,1,0,37,126,61,0,1,0,23,85
20,138,0,4,0,57,199,106,0,3,0,38,147
21,146,0,7,0,55,208,109,0,6,0,45,160
22,190,0,9,0,87,286,123,0,6,0,34,163
23,240,0,7,0,137,384,164,0,1,0,58,223
24,243,0,11,0,151,405,152,0,9,0,47,208
25,318,0,14,0,281,613,169,0,9,0,69,247
26,410,0,26,0,284,720,244,0,18,0,88,350
27,406,0,25,0,269,700,255,0,15,0,108,378
28,427,0,19,0,239,685,256,0,15,0,115,386
29,513,0,21,0,266,800,321,0,13,0,146,480
30,753,0,26,0,322,1101,511,0,17,0,188,716
31,996,0,42,0,419,1457,666,0,25,0,232,923
32,1284,0,59,0,533,1876,806,0,39,0,282,1127
33,1762,0,76,0,747,2585,1146,0,42,0,426,1614
34,2408,0,104,0,1015,3527,1670,0,74,0,641,2385
35,2788,0,140,0,1198,4126,1886,0,88,0,713,2687
36,3612,0,151,0,1687,5450,2339,0,86,0,949,3374
37,4538,0,242,0,2289,7069,2632,0,118,0,1110,3860
38,4659,0,247,0,2401,7307,2848,0,131,0,1312,4291
39,5141,0,305,0,2709,8155,3257,0,166,0,1499,4922
40,5954,0,365,0,3246,9565,3580,0,184,0,1654,5418
41,6797,0,456,0,3711,10964,4037,0,231,0,1849,6117
42,7359,0,533,0,4099,11991,4315,0,260,0,2012,6587
43,7999,0,579,0,4685,13263,4517,0,282,0,2164,6963
44,9425,0,783,0,6237,16445,4992,0,342,0,2638,7972
45,9693,0,859,0,6707,17259,4907,0,342,0,2607,7856
46,8622,0,729,0,6373,15724,4390,0,289,0,2501,7180
47,3692,0,262,0,2314,6268,2317,0,164,0,1376,3857
48,4359,0,305,0,3027,7691,2915,0,214,0,1888,5017
49,5462,0,358,0,4622,10442,3849,0,253,0,3207,7309
50,5531,0,323,0,4804,10658,4055,0,236,0,3585,7876
51,4781,0,339,0,4568,9688,3554,0,257,0,3517,7328
52,4175,0,265,0,4114,8554,3147,0,207,0,3148,6502
53,3156,0,211,0,3030,6397,2395,0,157,0,2318,4870
54,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0
